brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
Maruti,1248.0,Diesel,Comprehensive,27300,Mumbai,Vitara Brezza ZDi AMT,First Owner,825000.0,2018,5,Automatic
Mahindra,2179.0,Diesel,Comprehensive,92000,Mumbai,XUV500 R W10 FWD,Second Owner,795000.0,2017,7,Manual
Hyundai,1197.0,Petrol,Zero Dep,33449,Mumbai,i20 Sportz,First Owner,425000.0,2016,5,Manual
Mercedes Benz,2987.0,Diesel,Comprehensive,65000,Mumbai,4MATIC,Second Owner,4775000.0,2017,7,Automatic
Mercedes Benz,1796.0,Petrol,Comprehensive,86000,Mumbai,E 200 CGI Elegance,First Owner,1199000.0,2013,5,Automatic
Toyota,2494.0,Petrol,Expired,53312,Mumbai,Camry,Second Owner,1190000.0,2015,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,65940,Mumbai,Baleno  CVT Zeta,Second Owner,442000.0,2018,5,Automatic
Hyundai,1591.0,Petrol,Zero Dep,70965,Mumbai,Creta  SX Automatic,First Owner,894000.0,2019,5,Automatic
MG,1451.0,Petrol,Expired,43650,Mumbai,Hector Smart CVT,First Owner,1600000.0,2022,5,Automatic
Hyundai,1197.0,Petrol,Expired,33000,Mumbai,Grand i10 AT Asta,First Owner,498000.00000000006,2016,5,Automatic
Mercedes Benz,1991.0,Petrol,Comprehensive,71000,Mumbai,C 200 CGI,First Owner,1650000.0,2015,5,Automatic
Land Rover,2179.0,Diesel,Expired,86890,Mumbai,Range Rover Evoque 2. Dynamic,Third Owner,1700000.0,2013,5,Automatic
Kia,1493.0,Diesel,Expired,11700,Mumbai,Seltos X-Line  AT,Second Owner,1775000.0,2022,5,Automatic
Nissan,1498.0,Petrol,Comprehensive,36000,Mumbai,Sunny XL CVT,Second Owner,330000.0,2014,5,Automatic
Volkswagen,1198.0,Petrol,Third Party,62000,Mumbai,Polo  MPI Highline,First Owner,425000.0,2015,5,Manual
Hyundai,1493.0,Diesel,Comprehensive,12000,Mumbai,Alcazar Platinum (O) 7-Seater  AT,First Owner,1920000.0,2022,7,Automatic
Maruti,1248.0,Diesel,Comprehensive,59000,Mumbai,Swift Dzire VDI,First Owner,435000.0,2013,5,Manual
Hyundai,1353.0,Petrol,Expired,29500,Mumbai,Creta SX Opt Turbo,First Owner,1600000.0,2021,5,Automatic
Maruti,1197.0,Petrol,Expired,62108,Mumbai,Baleno  Zeta,Second Owner,406000.0,2016,5,Manual
Maruti,1373.0,Petrol,Comprehensive,87235,Mumbai,Ertiga VXI,Second Owner,535000.0,2013,7,Manual
Volkswagen,1197.0,Petrol,Expired,79032,Mumbai,Polo GT TSI,First Owner,525000.0,2015,5,Automatic
Maruti,1462.0,Petrol,Comprehensive,42500,Mumbai,Ciaz Alpha AT,First Owner,875000.0,2020,5,Automatic
Tata,1199.0,Petrol,Zero Dep,39558,Mumbai,Tigor  Revotron XZ Option,First Owner,407000.0,2018,5,Manual
Hyundai,1591.0,Petrol,Comprehensive,72000,Mumbai,Creta  VTVT AT SX Plus,First Owner,835000.0,2017,5,Automatic
Toyota,2494.0,Diesel,Comprehensive,87000,Mumbai,Innova  G () 7 Seater BS III,Second Owner,545000.0,2011,8,Manual
Honda,1198.0,Petrol,Third Party,75000,Mumbai,Amaze E i-Vtech,First Owner,295000.0,2014,5,Manual
Honda,1199.0,Petrol,Comprehensive,54767,Mumbai,Jazz  V AT i VTEC,First Owner,645000.0,2018,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,58000,Mumbai,Swift Dzire VXI,First Owner,399000.0,2013,5,Manual
Kia,1353.0,Petrol,Comprehensive,9000,Mumbai,Seltos GTX Plus DCT,First Owner,1735000.0000000002,2022,5,Automatic
BMW,1995.0,Diesel,Comprehensive,42000,Mumbai,X1 sDrive20d Expedition,First Owner,2595000.0,2018,5,Automatic
Volkswagen,1498.0,Diesel,Third Party,60759,Mumbai,Ameo  TDI Highline Plus AT,Second Owner,539000.0,2019,5,Automatic
Toyota,1496.0,Petrol,Expired,27210,Mumbai,Etios G,First Owner,325000.0,2011,5,Manual
Nissan,1498.0,Petrol,Comprehensive,27000,Mumbai,Sunny XL CVT,First Owner,365000.0,2014,5,Automatic
Mercedes Benz,2987.0,Diesel,Expired,93999,Mumbai,350 CDI Blue Efficiency,First Owner,3400000.0,2015,7,Automatic
Toyota,2494.0,Diesel,Comprehensive,118000,Mumbai,Innova  G () 7 Seater BS IV,First Owner,894999.9999999999,2014,7,Manual
Maruti,998.0,Petrol,Expired,15344,Mumbai,S-Presso VXI AT 2019-2022,First Owner,407000.0,2021,5,Automatic
Maruti,1248.0,Diesel,Expired,45000,Mumbai,Vitara Brezza ZDi AMT,First Owner,844999.9999999999,2018,5,Automatic
Jaguar,1999.0,Diesel,Comprehensive,35000,Mumbai,XE 2.  Prestige,Second Owner,1925000.0,2017,5,Automatic
Maruti,1197.0,Petrol,Expired,56000,Mumbai,Baleno  Delta,First Owner,625000.0,2018,5,Manual
Volkswagen,1197.0,Petrol,Comprehensive,72000,Mumbai,Polo GT TSI,First Owner,695000.0,2017,5,Automatic
Land Rover,2993.0,Diesel,Expired,62000,Mumbai,Range Rover Sport  D SE,First Owner,8999000.0,2019,5,Automatic
Maruti,998.0,Petrol,Expired,11381,Mumbai,Celerio ZXI,First Owner,625000.0,2022,5,Manual
Mahindra,1497.0,Diesel,Expired,29183,Mumbai,XUV300 W8 Option,First Owner,995000.0,2021,5,Manual
Honda,1498.0,Diesel,Comprehensive,74686,Mumbai,Amaze V CVT,First Owner,585000.0,2018,5,Automatic
BMW,1995.0,Diesel,Expired,91000,Mumbai,X3 xDrive20d xLine,First Owner,2099000.0,2017,5,Automatic
MG,1451.0,Petrol,Expired,12900,Mumbai,Hector Plus Sharp CVT,First Owner,1795000.0,2022,6,Automatic
Skoda,1798.0,Petrol,Comprehensive,99000,Mumbai,Superb Elegance  TSI AT,Second Owner,400000.0,2012,5,Automatic
Hyundai,1186.0,Diesel,Comprehensive,59982,Mumbai,Grand i10  CRDi Asta,First Owner,565000.0,2017,5,Manual
Mercedes Benz,1950.0,Diesel,Third Party,30000,Mumbai,Exclusive E 220 d,First Owner,4199000.0,2019,5,Automatic
Ford,1196.0,Petrol,Comprehensive,49000,Mumbai,Figo 1.2P Titanium MT,Second Owner,499000.0,2018,5,Manual
Hyundai,1493.0,Diesel,Expired,36000,Mumbai,Creta SX Opt  AT,Second Owner,1795000.0,2022,5,Automatic
Maruti,1197.0,Petrol,Expired,81000,Mumbai,Swift Dzire ZXI,First Owner,425000.0,2013,5,Manual
Honda,1199.0,Petrol,Expired,53000,Mumbai,Amaze V CVT,First Owner,645000.0,2018,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,45322,Mumbai,Grand i10 Asta,First Owner,356000.0,2015,5,Manual
Maruti,1373.0,Petrol,Expired,64000,Mumbai,Ciaz ZXi,First Owner,515000.00000000006,2014,5,Manual
Ford,1497.0,Petrol,Expired,15100,Mumbai,Ecosport   Titanium,First Owner,775000.0,2019,5,Manual
Maruti,998.0,Petrol,Comprehensive,46436,Mumbai,Celerio ZXI AMT,Third Owner,375000.0,2018,5,Automatic
Maruti,1462.0,Petrol,Expired,17710,Mumbai,Vitara Brezza VXI AT,First Owner,1050000.0,2021,5,Automatic
BMW,2993.0,Diesel,Comprehensive,54100,Mumbai,7 Series 730Ld,First Owner,2350000.0,2015,5,Automatic
Tata,1199.0,Petrol,Expired,58000,Mumbai,Tiago  Revotron XZA,First Owner,425000.0,2017,5,Automatic
Land Rover,4367.0,Diesel,Expired,121000,Mumbai,Range Rover TDV8 (),First Owner,1475000.0,2012,7,Automatic
Honda,1497.0,Petrol,Expired,22708,Mumbai,City i-VTEC CVT V,First Owner,894999.9999999999,2019,5,Automatic
BMW,1995.0,Diesel,Comprehensive,54000,Mumbai,3 Series,Second Owner,1689999.9999999998,2017,5,Automatic
Hyundai,1591.0,Petrol,Comprehensive,46000,Mumbai,Creta  VTVT SX Plus,Second Owner,750000.0,2017,5,Manual
Honda,1199.0,Petrol,Comprehensive,18093,Mumbai,WR-V VX,First Owner,794000.0,2021,5,Manual
Tata,1199.0,Petrol,Third Party,2228,Mumbai,Tiago XZA Plus AMT,First Owner,690000.0,2023,5,Automatic
Honda,1997.0,Petrol,Zero Dep,60016,Mumbai,CR-V  2WD,First Owner,1425000.0,2019,5,Automatic
Maruti,1373.0,Petrol,Comprehensive,58000,Mumbai,Ciaz  Delta,Second Owner,545000.0,2017,5,Manual
Skoda,1498.0,Diesel,Comprehensive,65000,Mumbai,Rapid  TDI AT Ambition,Second Owner,395000.0,2014,5,Automatic
Tata,1373.0,Electric,Comprehensive,35000,Mumbai,Nexon  XZ Plus Dark Edition,First Owner,990000.0,2022,5,Automatic
Maruti,1373.0,Petrol,Third Party,104705,Mumbai,Ciaz AT ZXi,First Owner,418000.0,2015,5,Automatic
Maruti,998.0,CNG,Third Party,72000,Mumbai,Wagon R LXI,First Owner,335000.0,2014,5,Manual
Maruti,998.0,Petrol,Comprehensive,36218,Mumbai,Celerio ZXI AT,First Owner,395000.0,2016,5,Automatic
Skoda,1798.0,Petrol,Expired,48000,Mumbai,Superb LK  TSI AT,First Owner,1895000.0,2019,5,Automatic
Mercedes Benz,2143.0,Diesel,Expired,68000,Mumbai,ML 250 CDI,Second Owner,2100000.0,2014,5,Automatic
Ford,1496.0,Petrol,Comprehensive,36000,Mumbai,Ecosport   Titanium,First Owner,1075000.0,2021,5,Manual
Toyota,2393.0,Diesel,Third Party,157000,Mumbai,Innova Crysta  G MT,First Owner,1575000.0,2017,7,Manual
Hyundai,1591.0,Petrol,Expired,65000,Mumbai,Creta  VTVT SX Plus,Second Owner,690000.0,2016,5,Manual
Hyundai,1591.0,Petrol,Expired,65039,Mumbai,Creta  VTVT AT SX Plus,Second Owner,750000.0,2016,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,78010,Mumbai,i20 Magna,First Owner,449000.0,2017,5,Manual
Maruti,998.0,Petrol,Comprehensive,58033,Mumbai,Wagon R Stingray VXI,First Owner,325000.0,2014,5,Manual
Hyundai,1197.0,Petrol,Comprehensive,40379,Mumbai,i20  CVT Asta,First Owner,652000.0,2018,5,Automatic
Hyundai,1582.0,Diesel,Expired,65000,Mumbai,Creta  CRDi AT SX Plus,First Owner,1025000.0,2017,5,Automatic
Maruti,998.0,CNG,Third Party,31999,Mumbai,Wagon R  LXI,First Owner,535000.0,2020,5,Manual
Hyundai,1197.0,Petrol,Zero Dep,37981,Mumbai,i20 Magna,First Owner,423000.00000000006,2016,5,Manual
Maruti,1197.0,Petrol,Comprehensive,59587,Mumbai,Baleno Delta,Second Owner,587000.0,2021,5,Manual
Tata,1199.0,Petrol,Zero Dep,6100,Mumbai,Altroz XZA DCT,First Owner,825000.0,2023,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,28440,Mumbai,Baleno  Zeta,First Owner,615000.0,2018,5,Manual
Nissan,999.0,Petrol,Expired,49814,Mumbai,Magnite Turbo XL,First Owner,561000.0,2021,5,Manual
Nissan,1198.0,Petrol,Comprehensive,63493,Mumbai,Micra XV CVT,First Owner,262000.0,2015,5,Automatic
Hyundai,1591.0,Petrol,Comprehensive,86252,Mumbai,Creta  VTVT AT SX Plus,Second Owner,705000.0,2016,5,Automatic
Honda,1497.0,Petrol,Expired,72000,Mumbai,Mobilio S i-VTEC,Second Owner,425000.0,2014,7,Manual
Tata,1497.0,Diesel,Comprehensive,35000,Mumbai,Nexon  Revotorq XZA Plus,First Owner,675000.0,2018,5,Automatic
Volkswagen,1197.0,Petrol,Expired,70457,Mumbai,Polo GT TSI,First Owner,575000.0,2014,5,Automatic
Land Rover,2179.0,Diesel,Expired,120000,Mumbai,Freelander 2 HSE SD4,Fourth Owner,1000000.0,2012,5,Automatic
Toyota,2393.0,Diesel,Comprehensive,79000,Mumbai,Innova Crysta  VX MT,First Owner,1825000.0,2019,7,Manual
Mercedes Benz,2143.0,Diesel,Comprehensive,110000,Mumbai,ML 250 CDI,Third Owner,1345000.0,2013,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,65151,Mumbai,Swift Dzire LXI,Second Owner,333000.0,2015,5,Manual
Hyundai,1197.0,Petrol,Expired,68000,Mumbai,i20 Active,Second Owner,475000.0,2017,5,Manual
Honda,1199.0,Petrol,Comprehensive,42000,Mumbai,Jazz  V i VTEC,First Owner,415000.00000000006,2015,5,Manual
Renault,999.0,Petrol,Comprehensive,10000,Mumbai,Triber RXZ EASY-R AMT,First Owner,699000.0,2023,7,Automatic
Maruti,998.0,Petrol,Expired,25311,Mumbai,Celerio VXI,First Owner,338000.0,2016,5,Manual
Honda,1497.0,Petrol,Expired,56987,Mumbai,City i VTEC CVT VX,First Owner,555000.0,2014,5,Automatic
Mercedes Benz,2987.0,Diesel,Comprehensive,77869,Mumbai,350 CDI Blue Efficiency,Second Owner,2649000.0,2014,7,Automatic
Honda,1497.0,Petrol,Comprehensive,36517,Mumbai,City S,First Owner,345000.0,2013,5,Manual
Porsche,2995.0,Petrol,Expired,15000,Mumbai,Cayenne Base,First Owner,15000000.0,2023,5,Automatic
Mercedes Benz,2143.0,Diesel,Comprehensive,43000,Mumbai,Progressive,First Owner,3699000.0,2018,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,57652,Mumbai,Baleno Zeta,First Owner,583000.0,2020,5,Manual
Mercedes Benz,2987.0,Diesel,Comprehensive,35800,Mumbai,E 350 d,First Owner,3650000.0,2019,5,Automatic
Hyundai,1497.0,Petrol,Expired,1700,Mumbai,Creta SX (O) Knight iVT,First Owner,2045000.0,2024,5,Automatic
