,Unnamed: 0,Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
43,43,Tata,1497.0,Diesel,Comprehensive,28887,Thane,Altroz XZ Plus,First Owner,795000.0,2023,5,Manual
44,44,Hyundai,1197.0,Petrol,Comprehensive,47832,Navi Mumbai,Grand i10 Asta,First Owner,362000.0,2015,5,Manual
45,45,Maruti,1197.0,Petrol,Zero Dep,36553,Mumbai,Baleno  Delta,First Owner,525000.0,2019,5,Manual
46,46,Audi,1984.0,Petrol,Comprehensive,93700,Mumbai,Q7 40 TFSI Quattro,First Owner,3150000.0,2018,7,Automatic
47,47,Maruti,998.0,CNG,Comprehensive,64412,Thane,Wagon R LXI,Second Owner,299000.0,2014,5,Manual
48,48,Tata,1199.0,Petrol,Comprehensive,45343,Mumbai,Tigor XZA,First Owner,435000.0,2018,5,Automatic
49,49,Tata,1199.0,Petrol,Zero Dep,33760,Navi Mumbai,Tiago  Revotron XZA,First Owner,396000.0,2017,5,Automatic
50,50,Tata,1199.0,Petrol,Expired,8925,Mumbai,Tiago XZA Plus,First Owner,515000.00000000006,2019,5,Automatic
51,51,Hyundai,998.0,Petrol,Comprehensive,79000,Mumbai,Venue SX Turbo iMT,First Owner,775000.0,2020,5,Manual
52,52,Maruti,998.0,Petrol,Comprehensive,72500,Thane,Wagon R Stingray LXI Optional,First Owner,375000.0,2017,5,Manual
53,53,Renault,999.0,Petrol,Third Party,40198,Mumbai,KWID Climber  AMT,First Owner,330000.0,2018,5,Automatic
54,54,Hyundai,1591.0,Petrol,Zero Dep,52116,Mumbai,Verna VTVT  AT SX Option,First Owner,746000.0,2018,5,Automatic
55,55,Tata,1199.0,Petrol,Comprehensive,5500,Mumbai,Altroz XZ Plus DCT,First Owner,985000.0,2022,5,Automatic
56,56,Hyundai,998.0,Petrol,Zero Dep,10160,Mumbai,Venue SX Turbo iMT,Second Owner,771000.0,2021,5,Manual
57,57,Tata,1199.0,Petrol,Expired,33857,Thane,Tiago XZ Plus,First Owner,645000.0,2022,5,Manual
58,58,Honda,1199.0,Petrol,Comprehensive,33000,Mumbai,Jazz  S AT i VTEC,First Owner,455000.0,2016,5,Automatic
59,59,Tata,998.0,Electric,Comprehensive,18500,Mumbai,Nexon  XZ Plus,First Owner,990000.0,2021,5,Automatic
60,60,Hyundai,998.0,Petrol,Third Party,30000,Mumbai,Venue SX Turbo iMT,Second Owner,750000.0,2020,5,Manual
61,61,Hyundai,1197.0,Petrol,Comprehensive,75349,Mumbai,Grand i10  Kappa Sportz Option AT,First Owner,442000.0,2017,5,Automatic
62,62,BMW,1995.0,Diesel,Expired,76832,Mumbai,X1 sDrive  xLine,Second Owner,1700000.0,2016,5,Automatic
63,63,Honda,1497.0,Petrol,Comprehensive,87000,Mumbai,City i VTEC CVT VX,First Owner,590000.0,2015,5,Automatic
64,64,Tata,1199.0,Petrol,Comprehensive,18371,Mumbai,Tiago XZ Plus,First Owner,678000.0,2023,5,Manual
65,65,Maruti,1197.0,Petrol,Expired,36016,Mumbai,Baleno  CVT Delta,First Owner,503000.0,2018,5,Automatic
66,66,Toyota,2494.0,Diesel,Comprehensive,245000,Mumbai,Innova  G1,Second Owner,675000.0,2012,8,Manual
67,67,Maruti,1373.0,Petrol,Comprehensive,21883,Mumbai,Ertiga VXI,First Owner,545000.0,2013,7,Manual
68,68,Jeep,1368.0,Petrol,Expired,29700,Mumbai,Compass  L Night Eagle,First Owner,1695000.0,2022,5,Automatic
69,69,Maruti,796.0,Petrol,Comprehensive,22400,Thane,Alto 800 VXI,First Owner,292000.0,2017,5,Manual
70,70,Maruti,1197.0,Petrol,Third Party,66448,Mumbai,Baleno  CVT Delta,First Owner,439000.0,2017,5,Automatic
71,71,Honda,1497.0,Petrol,Comprehensive,94743,Mumbai,City i VTEC V,Second Owner,392000.0,2015,5,Manual
72,72,Skoda,1498.0,Diesel,Comprehensive,70000,Thane,Rapid  TDI Elegance,First Owner,525000.0,2014,5,Manual
73,73,BMW,2993.0,Diesel,Expired,50100,Mumbai,6 Series GT  M Sport,First Owner,4299000.0,2018,4,Automatic
74,74,Hyundai,1197.0,Petrol,Third Party,33754,Mumbai,Xcent  Kappa S,First Owner,326000.0,2015,5,Manual
75,75,MG,1956.0,Diesel,Third Party,34000,Navi Mumbai,Hector Plus Sharp  MT,First Owner,2330000.0,2023,6,Manual
76,76,Tata,1199.0,Petrol,Zero Dep,4726,Mumbai,Tiago XZ Plus,First Owner,670000.0,2023,5,Manual
77,77,Hyundai,1591.0,Petrol,Comprehensive,63000,Mumbai,Creta  VTVT E Plus,First Owner,699000.0,2017,5,Manual
78,78,Mahindra,2157.0,Diesel,Comprehensive,13242,Mumbai,Alturas G4 4X4 AT,First Owner,3250000.0,2022,7,Automatic
79,79,Maruti,1462.0,Petrol,Zero Dep,17344,Mumbai,Ciaz Delta AT,First Owner,740000.0,2021,5,Automatic
80,80,Tata,1199.0,Petrol,Comprehensive,4684,Mumbai,Altroz XZ,First Owner,840000.0,2023,5,Manual
81,81,Mercedes Benz,1991.0,Petrol,Comprehensive,41000,Mumbai,Class 200 Sport,First Owner,2655000.0,2019,5,Automatic
82,82,Mercedes Benz,2143.0,Diesel,Expired,104000,Mumbai,ML 250 CDI,Third Owner,1350000.0,2013,5,Automatic
83,83,Maruti,1197.0,Petrol,Comprehensive,20061,Mumbai,Baleno  CVT Delta,First Owner,499000.0,2018,5,Automatic
84,84,Hyundai,1797.0,Petrol,Comprehensive,67000,Mumbai,Elantra SX AT,First Owner,525000.0,2013,5,Automatic
85,85,Honda,1497.0,Petrol,Comprehensive,53000,Mumbai,City i VTEC CVT SV,First Owner,565000.0,2016,5,Automatic
86,86,Hyundai,1197.0,Petrol,Comprehensive,36541,Mumbai,Grand i10  Kappa Sportz,First Owner,460000.0,2019,5,Manual
87,87,Hyundai,1353.0,Petrol,Comprehensive,18500,Mumbai,Creta SX Opt Turbo,First Owner,1771000.0,2022,5,Automatic
88,88,Maruti,1586.0,CNG,Third Party,120000,Mumbai,SX4 Green Vxi (),First Owner,399000.0,2014,5,Manual
89,89,Maruti,1197.0,Petrol,Third Party,70851,Mumbai,Swift Dzire AMT ZXI Plus,First Owner,496000.0,2018,5,Automatic
90,90,Maruti,1197.0,Petrol,Expired,3626,Mumbai,Baleno Alpha,First Owner,1000000.0,2023,5,Manual
91,91,Hyundai,1197.0,Petrol,Comprehensive,15066,Mumbai,Grand i10  Kappa Sportz,First Owner,405000.0,2017,5,Manual
92,92,Ford,1499.0,Petrol,Third Party,53999,Thane,Ecosport  Ti VCT AT Titanium,First Owner,580000.0,2017,5,Automatic
93,93,Hyundai,1497.0,Petrol,Comprehensive,9999,Mumbai,Creta EX,First Owner,1090000.0,2021,5,Manual
94,94,Volkswagen,1199.0,Petrol,Expired,38664,Mumbai,Polo  MPI Comfortline,First Owner,365000.0,2015,5,Manual
95,95,Tata,1197.0,Electric,Comprehensive,25000,Mumbai,Nexon  XZ Plus,First Owner,1195000.0,2022,5,Automatic
96,96,Hyundai,1197.0,Petrol,Comprehensive,13000,Mumbai,i20 Sportz IVT,First Owner,851000.0,2022,5,Automatic
97,97,Maruti,998.0,CNG,Comprehensive,69638,Mumbai,Wagon R  LXI,First Owner,455000.0,2020,5,Manual
98,98,Maruti,1462.0,Petrol,Comprehensive,64117,Mumbai,Ciaz Delta,Second Owner,520000.0,2018,5,Manual
99,99,Audi,1968.0,Diesel,Comprehensive,48600,Mumbai,A6 35 TDI,Second Owner,1950000.0,2016,5,Automatic
100,100,Honda,1497.0,Petrol,Comprehensive,70336,Mumbai,City i-VTEC S,First Owner,575000.0,2018,5,Manual
101,101,Honda,1497.0,Petrol,Expired,90000,Thane,City  V MT Sunroof,First Owner,375000.0,2013,5,Manual
102,102,Honda,1497.0,Petrol,Comprehensive,70000,Mumbai,City i VTEC CVT SV,Second Owner,699000.0,2017,5,Automatic
103,103,Hyundai,998.0,Petrol,Comprehensive,35258,Mumbai,Venue SX Turbo,First Owner,726000.0,2019,5,Manual
104,104,Mahindra,1197.0,Petrol,Comprehensive,14900,Mumbai,XUV300 W8 Option AMT,First Owner,1025000.0,2021,5,Automatic
105,105,Tata,999.0,Electric,Comprehensive,18000,Mumbai,Nexon  XZ Plus,First Owner,1045000.0,2021,5,Automatic
106,106,Renault,999.0,Petrol,Expired,59680,Mumbai,Kiger RXZ,First Owner,625000.0,2022,5,Manual
107,107,Maruti,998.0,CNG,Third Party,45443,Navi Mumbai,Wagon R LXI,First Owner,379000.0,2018,5,Manual
108,108,Audi,1968.0,Diesel,Comprehensive,52000,Mumbai,A3 35 TDI Attraction,First Owner,1251000.0,2014,5,Automatic
109,109,Maruti,998.0,Petrol,Comprehensive,66113,Thane,Wagon R AMT VXI,First Owner,395000.0,2016,5,Automatic
110,110,Renault,1461.0,Diesel,Comprehensive,75000,Mumbai,Duster 110PS  RxZ,Second Owner,699000.0,2016,5,Manual
111,111,Skoda,1598.0,Petrol,Comprehensive,34394,Mumbai,Rapid  MPI Ambition,First Owner,624000.0,2017,5,Manual
112,112,Land Rover,1999.0,Diesel,Expired,44847,Mumbai,Discovery Sport S,First Owner,4745000.0,2021,7,Automatic
113,113,Mercedes Benz,2925.0,Diesel,Expired,44000,Mumbai,4MATIC,First Owner,11000000.0,2021,7,Automatic
114,114,Hyundai,1591.0,Petrol,Third Party,117201,Navi Mumbai,Creta  VTVT S,First Owner,700000.0,2016,5,Manual
115,115,Mahindra,2489.0,Diesel,Comprehensive,95000,Mumbai,Xylo D4,First Owner,370000.0,2015,7,Manual
116,116,MG,1498.0,Petrol,Comprehensive,30500,Mumbai,Astor Smart CVT,First Owner,1175000.0,2022,5,Automatic
117,117,Maruti,1248.0,Diesel,Comprehensive,27300,Mumbai,Vitara Brezza ZDi AMT,First Owner,825000.0,2018,5,Automatic
118,118,Mahindra,2179.0,Diesel,Comprehensive,92000,Mumbai,XUV500 R W10 FWD,Second Owner,795000.0,2017,7,Manual
119,119,Hyundai,1197.0,Petrol,Zero Dep,33449,Mumbai,i20 Sportz,First Owner,425000.0,2016,5,Manual
120,120,Mercedes Benz,2987.0,Diesel,Comprehensive,65000,Mumbai,4MATIC,Second Owner,4775000.0,2017,7,Automatic
121,121,Mercedes Benz,1796.0,Petrol,Comprehensive,86000,Mumbai,E 200 CGI Elegance,First Owner,1199000.0,2013,5,Automatic
122,122,Toyota,2494.0,Petrol,Expired,53312,Mumbai,Camry,Second Owner,1190000.0,2015,5,Automatic
123,123,Maruti,1197.0,Petrol,Comprehensive,65940,Mumbai,Baleno  CVT Zeta,Second Owner,442000.0,2018,5,Automatic
124,124,Hyundai,1591.0,Petrol,Zero Dep,70965,Mumbai,Creta  SX Automatic,First Owner,894000.0,2019,5,Automatic
125,125,MG,1451.0,Petrol,Expired,43650,Mumbai,Hector Smart CVT,First Owner,1600000.0,2022,5,Automatic
126,126,Hyundai,1197.0,Petrol,Expired,33000,Mumbai,Grand i10 AT Asta,First Owner,498000.00000000006,2016,5,Automatic
127,127,Mercedes Benz,1991.0,Petrol,Comprehensive,71000,Mumbai,C 200 CGI,First Owner,1650000.0,2015,5,Automatic
128,128,Land Rover,2179.0,Diesel,Expired,86890,Mumbai,Range Rover Evoque 2. Dynamic,Third Owner,1700000.0,2013,5,Automatic
129,129,Kia,1493.0,Diesel,Expired,11700,Mumbai,Seltos X-Line  AT,Second Owner,1775000.0,2022,5,Automatic
130,130,Nissan,1498.0,Petrol,Comprehensive,36000,Mumbai,Sunny XL CVT,Second Owner,330000.0,2014,5,Automatic
131,131,Volkswagen,1198.0,Petrol,Third Party,62000,Mumbai,Polo  MPI Highline,First Owner,425000.0,2015,5,Manual
132,132,Hyundai,1493.0,Diesel,Comprehensive,12000,Thane,Alcazar Platinum (O) 7-Seater  AT,First Owner,1920000.0,2022,7,Automatic
133,133,Maruti,1248.0,Diesel,Comprehensive,59000,Mumbai,Swift Dzire VDI,First Owner,435000.0,2013,5,Manual
134,134,Hyundai,1353.0,Petrol,Expired,29500,Mumbai,Creta SX Opt Turbo,First Owner,1600000.0,2021,5,Automatic
135,135,Maruti,1197.0,Petrol,Expired,62108,Navi Mumbai,Baleno  Zeta,Second Owner,406000.0,2016,5,Manual
136,136,Maruti,1373.0,Petrol,Comprehensive,87235,Mumbai,Ertiga VXI,Second Owner,535000.0,2013,7,Manual
137,137,Volkswagen,1197.0,Petrol,Expired,79032,Mumbai,Polo GT TSI,First Owner,525000.0,2015,5,Automatic
138,138,Maruti,1462.0,Petrol,Comprehensive,42500,Mumbai,Ciaz Alpha AT,First Owner,875000.0,2020,5,Automatic
139,139,Tata,1199.0,Petrol,Zero Dep,39558,Mumbai,Tigor  Revotron XZ Option,First Owner,407000.0,2018,5,Manual
140,140,Hyundai,1591.0,Petrol,Comprehensive,72000,Mumbai,Creta  VTVT AT SX Plus,First Owner,835000.0,2017,5,Automatic
141,141,Toyota,2494.0,Diesel,Comprehensive,87000,Mumbai,Innova  G () 7 Seater BS III,Second Owner,545000.0,2011,8,Manual
142,142,Honda,1198.0,Petrol,Third Party,75000,Mumbai,Amaze E i-Vtech,First Owner,295000.0,2014,5,Manual
143,143,Honda,1199.0,Petrol,Comprehensive,54767,Thane,Jazz  V AT i VTEC,First Owner,645000.0,2018,5,Automatic
144,144,Maruti,1197.0,Petrol,Comprehensive,58000,Mumbai,Swift Dzire VXI,First Owner,399000.0,2013,5,Manual
145,145,Kia,1353.0,Petrol,Comprehensive,9000,Mumbai,Seltos GTX Plus DCT,First Owner,1735000.0000000002,2022,5,Automatic
146,146,BMW,1995.0,Diesel,Comprehensive,42000,Mumbai,X1 sDrive20d Expedition,First Owner,2595000.0,2018,5,Automatic
147,147,Volkswagen,1498.0,Diesel,Third Party,60759,Mumbai,Ameo  TDI Highline Plus AT,Second Owner,539000.0,2019,5,Automatic
148,148,Toyota,1496.0,Petrol,Expired,27210,Thane,Etios G,First Owner,325000.0,2011,5,Manual
149,149,Nissan,1498.0,Petrol,Comprehensive,27000,Mumbai,Sunny XL CVT,First Owner,365000.0,2014,5,Automatic
150,150,Mercedes Benz,2987.0,Diesel,Expired,93999,Thane,350 CDI Blue Efficiency,First Owner,3400000.0,2015,7,Automatic
151,151,Toyota,2494.0,Diesel,Comprehensive,118000,Mumbai,Innova  G () 7 Seater BS IV,First Owner,894999.9999999999,2014,7,Manual
152,152,Maruti,998.0,Petrol,Expired,15344,Mumbai,S-Presso VXI AT 2019-2022,First Owner,407000.0,2021,5,Automatic
153,153,Maruti,1248.0,Diesel,Expired,45000,Mumbai,Vitara Brezza ZDi AMT,First Owner,844999.9999999999,2018,5,Automatic
154,154,Jaguar,1999.0,Diesel,Comprehensive,35000,Mumbai,XE 2.  Prestige,Second Owner,1925000.0,2017,5,Automatic
155,155,Maruti,1197.0,Petrol,Expired,56000,Mumbai,Baleno  Delta,First Owner,625000.0,2018,5,Manual
156,156,Volkswagen,1197.0,Petrol,Comprehensive,72000,Navi Mumbai,Polo GT TSI,First Owner,695000.0,2017,5,Automatic
157,157,Land Rover,2993.0,Diesel,Expired,62000,Thane,Range Rover Sport  D SE,First Owner,8999000.0,2019,5,Automatic
158,158,Maruti,998.0,Petrol,Expired,11381,Thane,Celerio ZXI,First Owner,625000.0,2022,5,Manual
159,159,Mahindra,1497.0,Diesel,Expired,29183,Mumbai,XUV300 W8 Option,First Owner,995000.0,2021,5,Manual
160,160,Honda,1498.0,Diesel,Comprehensive,74686,Mumbai,Amaze V CVT,First Owner,585000.0,2018,5,Automatic
161,161,BMW,1995.0,Diesel,Expired,91000,Mumbai,X3 xDrive20d xLine,First Owner,2099000.0,2017,5,Automatic
162,162,MG,1451.0,Petrol,Expired,12900,Mumbai,Hector Plus Sharp CVT,First Owner,1795000.0,2022,6,Automatic
163,163,Skoda,1798.0,Petrol,Comprehensive,99000,Mumbai,Superb Elegance  TSI AT,Second Owner,400000.0,2012,5,Automatic
164,164,Hyundai,1186.0,Diesel,Comprehensive,59982,Thane,Grand i10  CRDi Asta,First Owner,565000.0,2017,5,Manual
165,165,Mercedes Benz,1950.0,Diesel,Third Party,30000,Mumbai,Exclusive E 220 d,First Owner,4199000.0,2019,5,Automatic
166,166,Ford,1196.0,Petrol,Comprehensive,49000,Mumbai,Figo 1.2P Titanium MT,Second Owner,499000.0,2018,5,Manual
167,167,Hyundai,1493.0,Diesel,Expired,36000,Mumbai,Creta SX Opt  AT,Second Owner,1795000.0,2022,5,Automatic
168,168,Maruti,1197.0,Petrol,Expired,81000,Mumbai,Swift Dzire ZXI,First Owner,425000.0,2013,5,Manual
169,169,Honda,1199.0,Petrol,Expired,53000,Mumbai,Amaze V CVT,First Owner,645000.0,2018,5,Automatic
170,170,Hyundai,1197.0,Petrol,Comprehensive,45322,Mumbai,Grand i10 Asta,First Owner,356000.0,2015,5,Manual
171,171,Maruti,1373.0,Petrol,Expired,64000,Thane,Ciaz ZXi,First Owner,515000.00000000006,2014,5,Manual
172,172,Ford,1497.0,Petrol,Expired,15100,Mumbai,Ecosport   Titanium,First Owner,775000.0,2019,5,Manual
173,173,Maruti,998.0,Petrol,Comprehensive,46436,Mumbai,Celerio ZXI AMT,Third Owner,375000.0,2018,5,Automatic
174,174,Maruti,1462.0,Petrol,Expired,17710,Mumbai,Vitara Brezza VXI AT,First Owner,1050000.0,2021,5,Automatic
175,175,BMW,2993.0,Diesel,Comprehensive,54100,Mumbai,7 Series 730Ld,First Owner,2350000.0,2015,5,Automatic
176,176,Tata,1199.0,Petrol,Expired,58000,Thane,Tiago  Revotron XZA,First Owner,425000.0,2017,5,Automatic
177,177,Land Rover,4367.0,Diesel,Expired,121000,Mumbai,Range Rover TDV8 (),First Owner,1475000.0,2012,7,Automatic
178,178,Honda,1497.0,Petrol,Expired,22708,Thane,City i-VTEC CVT V,First Owner,894999.9999999999,2019,5,Automatic
179,179,BMW,1995.0,Diesel,Comprehensive,54000,Mumbai,3 Series,Second Owner,1689999.9999999998,2017,5,Automatic
180,180,Hyundai,1591.0,Petrol,Comprehensive,46000,Thane,Creta  VTVT SX Plus,Second Owner,750000.0,2017,5,Manual
181,181,Honda,1199.0,Petrol,Comprehensive,18093,Thane,WR-V VX,First Owner,794000.0,2021,5,Manual
182,182,Tata,1199.0,Petrol,Third Party,2228,Mumbai,Tiago XZA Plus AMT,First Owner,690000.0,2023,5,Automatic
183,183,Honda,1997.0,Petrol,Zero Dep,60016,Mumbai,CR-V  2WD,First Owner,1425000.0,2019,5,Automatic
184,184,Maruti,1373.0,Petrol,Comprehensive,58000,Mumbai,Ciaz  Delta,Second Owner,545000.0,2017,5,Manual
185,185,Skoda,1498.0,Diesel,Comprehensive,65000,Mumbai,Rapid  TDI AT Ambition,Second Owner,395000.0,2014,5,Automatic
186,186,Tata,1373.0,Electric,Comprehensive,35000,Mumbai,Nexon  XZ Plus Dark Edition,First Owner,990000.0,2022,5,Automatic
187,187,Maruti,1373.0,Petrol,Third Party,104705,Mumbai,Ciaz AT ZXi,First Owner,418000.0,2015,5,Automatic
188,188,Maruti,998.0,CNG,Third Party,72000,Mumbai,Wagon R LXI,First Owner,335000.0,2014,5,Manual
189,189,Maruti,998.0,Petrol,Comprehensive,36218,Thane,Celerio ZXI AT,First Owner,395000.0,2016,5,Automatic
190,190,Skoda,1798.0,Petrol,Expired,48000,Mumbai,Superb LK  TSI AT,First Owner,1895000.0,2019,5,Automatic
191,191,Mercedes Benz,2143.0,Diesel,Expired,68000,Mumbai,ML 250 CDI,Second Owner,2100000.0,2014,5,Automatic
192,192,Ford,1496.0,Petrol,Comprehensive,36000,Mumbai,Ecosport   Titanium,First Owner,1075000.0,2021,5,Manual
193,193,Toyota,2393.0,Diesel,Third Party,157000,Thane,Innova Crysta  G MT,First Owner,1575000.0,2017,7,Manual
194,194,Hyundai,1591.0,Petrol,Expired,65000,Thane,Creta  VTVT SX Plus,Second Owner,690000.0,2016,5,Manual
195,195,BMW,2993.0,Diesel,Comprehensive,23000,Mumbai,X5 xDrive  M Sport,Second Owner,4475000.0,2018,5,Automatic
196,196,Hyundai,1591.0,Petrol,Expired,65039,Mumbai,Creta  VTVT AT SX Plus,Second Owner,750000.0,2016,5,Automatic
197,197,Hyundai,1197.0,Petrol,Comprehensive,78010,Mumbai,i20 Magna,First Owner,449000.0,2017,5,Manual
198,198,Maruti,998.0,Petrol,Comprehensive,58033,Mumbai,Wagon R Stingray VXI,First Owner,325000.0,2014,5,Manual
199,199,Hyundai,1197.0,Petrol,Comprehensive,40379,Mumbai,i20  CVT Asta,First Owner,652000.0,2018,5,Automatic
200,200,Hyundai,1582.0,Diesel,Expired,65000,Thane,Creta  CRDi AT SX Plus,First Owner,1025000.0,2017,5,Automatic
201,201,Maruti,998.0,CNG,Third Party,31999,Thane,Wagon R  LXI,First Owner,535000.0,2020,5,Manual
202,202,Hyundai,1197.0,Petrol,Zero Dep,37981,Navi Mumbai,i20 Magna,First Owner,423000.00000000006,2016,5,Manual
203,203,Maruti,1197.0,Petrol,Comprehensive,59587,Mumbai,Baleno Delta,Second Owner,587000.0,2021,5,Manual
204,204,Tata,1199.0,Petrol,Zero Dep,6100,Mumbai,Altroz XZA DCT,First Owner,825000.0,2023,5,Automatic
205,205,Maruti,1197.0,Petrol,Comprehensive,28440,Mumbai,Baleno  Zeta,First Owner,615000.0,2018,5,Manual
206,206,Nissan,999.0,Petrol,Expired,49814,Mumbai,Magnite Turbo XL,First Owner,561000.0,2021,5,Manual
207,207,Nissan,1198.0,Petrol,Comprehensive,63493,Mumbai,Micra XV CVT,First Owner,262000.0,2015,5,Automatic
208,208,Hyundai,1591.0,Petrol,Comprehensive,86252,Mumbai,Creta  VTVT AT SX Plus,Second Owner,705000.0,2016,5,Automatic
209,209,Honda,1497.0,Petrol,Expired,72000,Mumbai,Mobilio S i-VTEC,Second Owner,425000.0,2014,7,Manual
210,210,Tata,1497.0,Diesel,Comprehensive,35000,Mumbai,Nexon  Revotorq XZA Plus,First Owner,675000.0,2018,5,Automatic
